Equal number of a's b's and c's
q0,q1,q2,q3,q4,q5,q6,q7,qaccept,qreject
a,b,c,$
a,b,c,$,x,_
q0
qaccept
qreject
q0,$,q1,$,R
q1,x,q1,x,R
q1,c,q1,c,R
q1,b,q1,b,R
q1,a,q2,x,L
q2,a,q2,a,L
q2,b,q2,b,L
q2,c,q2,c,L
q2,x,q2,x,L
q2,$,q3,$,R
q3,a,q3,a,R
q3,c,q3,c,R
q3,x,q3,x,R
q3,b,q4,x,L
q4,a,q4,a,L
q4,b,q4,b,L
q4,c,q4,c,L
q4,x,q4,x,L
q4,$,q5,$,R
q5,a,q5,a,R
q5,b,q5,b,R
q5,x,q5,x,R
q5,c,q6,x,L
q6,$,q1,$,R
q3,_,qreject,_,R
q5,_,qreject,_,R
q1,_,q7,_,L
q7,x,q7,x,L
q7,$,qaccept,$,L
q6,a,q6,a,L
q6,b,q6,b,L
q6,c,q6,c,L
q6,x,q6,x,L
q7,c,qreject,c,R
q7,b,qreject,b,R
q7,a,qreject,a,R
